s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 3.9007313E+001, 1.4446734E+002,-3.6117723E+001,-1.4646992E+002,-9.8659426E+000,-9.9149495E-003, 3.9753114E+001, 0.0000000E+000,-8.2171168E+000,-8.2430447E+000, 5.4202100E-001, 3.2109406E-003,-5.6959620E-002, 3.8590493E+004
 4.0002304E+001, 1.4364016E+002,-3.5827397E+001,-1.5434578E+002,-9.3957564E+000,-9.9170175E-003, 3.9692309E+001, 0.0000000E+000,-1.6383795E+001,-1.6246373E+001, 5.7128835E-001, 3.2109354E-003,-6.0209120E-002, 3.9690056E+004
 4.1006096E+001, 1.4458458E+002,-3.6006700E+001,-1.5059875E+002,-8.9531635E+000,-9.9351564E-003, 4.0174175E+001, 0.0000000E+000,-1.0976373E+001,-1.0809788E+001, 5.5834615E-001, 3.2109234E-003,-5.9637795E-002, 4.0812720E+004
 4.2001087E+001, 1.4360149E+002,-3.5822200E+001,-1.4561624E+002,-8.6917557E+000,-9.8466832E-003, 3.9951889E+001, 0.0000000E+000,-6.6098780E+000,-6.5866663E+000, 5.3730136E-001, 3.2109407E-003,-5.5039228E-002, 4.1919311E+004
 4.3004883E+001, 1.4308137E+002,-3.5245278E+001,-1.6635815E+002,-8.5772167E+000,-9.8497022E-003, 4.0080134E+001, 0.0000000E+000,-2.7101746E+001,-2.7028990E+001, 6.1738619E-001, 3.2109339E-003,-6.6624136E-002, 4.3039230E+004
 4.4008678E+001, 1.4516144E+002,-3.6244341E+001,-1.6665652E+002,-7.6688283E+000,-9.8262549E-003, 4.0749678E+001, 0.0000000E+000,-2.4795168E+001,-2.4668404E+001, 6.1885921E-001, 3.2109228E-003,-6.7125710E-002, 4.4178139E+004
 4.5003666E+001, 1.4327242E+002,-3.5704311E+001,-1.5493019E+002,-7.4872832E+000,-9.8256007E-003, 4.0358475E+001, 0.0000000E+000,-1.4602278E+001,-1.4500724E+001, 5.7223394E-001, 3.2109390E-003,-5.9277244E-002, 4.5295948E+004
 4.6007462E+001, 1.4352451E+002,-3.5216413E+001,-1.5667415E+002,-7.2275709E+000,-9.8961191E-003, 4.0820962E+001, 0.0000000E+000,-1.4880773E+001,-1.4782559E+001, 5.7978984E-001, 3.2109310E-003,-6.1041538E-002, 4.6436623E+004
 4.7002449E+001, 1.4459146E+002,-3.6153322E+001,-1.4540871E+002,-7.0739656E+000,-9.9658776E-003, 4.0807826E+001, 0.0000000E+000,-3.3685609E+000,-3.2466825E+000, 5.3491920E-001, 3.2109326E-003,-5.3397070E-002, 4.7567246E+004
 4.8006245E+001, 1.4419492E+002,-3.5802452E+001,-1.3826445E+002,-6.6902001E+000,-9.9279191E-003, 4.0947794E+001, 0.0000000E+000, 4.2710710E+000, 4.3756826E+000, 5.0595176E-001, 3.2109428E-003,-4.8048057E-002, 4.8711284E+004
 4.9001236E+001, 1.4325143E+002,-3.5589746E+001,-1.3606919E+002,-6.5044892E+000,-9.8772869E-003, 4.0811689E+001, 0.0000000E+000, 5.8351569E+000, 5.8898173E+000, 4.9947789E-001, 3.2109440E-003,-4.8812712E-002, 4.9841904E+004
 5.0005032E+001, 1.4381694E+002,-3.5233277E+001,-1.5781078E+002,-7.0828196E+000,-9.9298978E-003, 4.0989711E+001, 0.0000000E+000,-1.5392938E+001,-1.5330157E+001, 5.8639436E-001, 3.2109332E-003,-6.3862169E-002, 5.0987403E+004
 5.1000019E+001, 1.4468919E+002,-3.6009048E+001,-1.6214827E+002,-7.2034252E+000,-9.9047336E-003, 4.0876416E+001, 0.0000000E+000,-1.9807964E+001,-1.9805040E+001, 6.0024902E-001, 3.2109017E-003,-6.3410753E-002, 5.2119757E+004
 5.2003815E+001, 1.4217635E+002,-3.4954634E+001,-1.5390290E+002,-7.0153156E+000,-9.9048688E-003, 4.0397940E+001, 0.0000000E+000,-1.3507179E+001,-1.3308466E+001, 5.6863410E-001, 3.2109171E-003,-5.8941064E-002, 5.3248555E+004
 5.3007610E+001, 1.4487932E+002,-3.5536924E+001,-1.5293127E+002,-6.8300564E+000,-9.9429202E-003, 4.1344316E+001, 0.0000000E+000,-9.2041077E+000,-9.0845548E+000, 5.6480644E-001, 3.2109293E-003,-5.8308943E-002, 5.4403789E+004
 5.4002598E+001, 1.4376825E+002,-3.5329980E+001,-1.4636605E+002,-6.6791404E+000,-9.9266931E-003, 4.0993797E+001, 0.0000000E+000,-3.7034000E+000,-3.6230463E+000, 5.3917683E-001, 3.2109383E-003,-5.4418688E-002, 5.5539432E+004
 5.5006393E+001, 1.4384092E+002,-3.5686848E+001,-1.3970690E+002,-6.3001833E+000,-9.9284279E-003, 4.0998203E+001, 0.0000000E+000, 3.0229370E+000, 3.1352652E+000, 5.1316516E-001, 3.2109375E-003,-5.0364281E-002, 5.6685004E+004
 5.6001385E+001, 1.4338424E+002,-3.5063482E+001,-1.2994840E+002,-6.2335090E+000,-9.9785638E-003, 4.1253110E+001, 0.0000000E+000, 1.3280665E+001, 1.3381982E+001, 4.7512827E-001, 3.2109435E-003,-4.4641505E-002, 5.7827856E+004
 5.7005177E+001, 1.4582125E+002,-3.6295568E+001,-1.2733849E+002,-6.4276439E+000,-9.9776623E-003, 4.1506272E+001, 0.0000000E+000, 1.7136839E+001, 1.7255845E+001, 4.6423340E-001, 3.2109438E-003,-4.2387457E-002, 5.8987749E+004
 5.8000168E+001, 1.4342035E+002,-3.4953623E+001,-1.4170655E+002,-7.0441191E+000,-9.9986981E-003, 4.0950255E+001, 0.0000000E+000, 7.6100165E-001, 6.5630583E-001, 5.2085166E-001, 3.2109400E-003,-5.1506716E-002, 6.0122192E+004
 5.9003963E+001, 1.4327167E+002,-3.5382228E+001,-1.6087426E+002,-7.4325049E+000,-9.8885982E-003, 4.0480559E+001, 0.0000000E+000,-1.9978182E+001,-1.9946651E+001, 5.9758973E-001, 3.2109141E-003,-6.4798409E-002, 6.1253521E+004
 6.0000000E+001, 1.4327327E+002,-3.4927406E+001,-1.4700129E+002,-7.3114363E+000,-9.9162680E-003, 4.0751440E+001, 0.0000000E+000,-5.5865101E+000,-5.2253380E+000, 5.4486880E-001, 3.2109267E-003,-5.7939813E-002, 6.2383202E+004
